ROG3,Ctry,PoplPeoples,CntPeoples,CntPeoplesLR,PoplPeoplesLR,JPScaleCtry,ROL3OfficialLanguage,OfficialLang,RLG3Primary,ReligionPrimary,PercentChristianity,PercentEvangelical,10_40Window,ROG2,Continent,RegionCode,RegionName,PercentUrbanized,LiteracyRate,ISO3,Population,WorkersNeeded
MA,Madagascar,26175821,40,10,226028,4,plt,"Malagasy, Plateau",1,Christianity,49.7303255062255,6.09717328204177,N,AFR,Africa,7,"East and Southern Africa",36,65,MDG,26263000,11
MI,Malawi,19089550,26,4,2080678,5,eng,English,1,Christianity,75.6840250195669,17.0017070284373,N,AFR,Africa,7,"East and Southern Africa",16,66,MWI,19165000,43
MY,Malaysia,31967046,183,79,16465701,4,zlm,Malay,6,Islam,8.911595780225859,3.69226428234947,Y,ASI,Asia,2,"Southeast Asia",75,93,MYS,32042000,378
MV,Maldives,437804,4,4,437804,1,div,Maldivian,6,Islam,0.0278238018018018,0.008878369369369371,Y,ASI,Asia,4,"South Asia",47,98,MDV,444000,12
ML,Mali,19036981,74,45,17435609,1,fra,French,6,Islam,2.7685990072221,0.655433259840582,Y,AFR,Africa,8,"West and Central Africa",41,33,MLI,19108000,362
MT,Malta,414198,10,3,1899,3,mlt,Maltese,1,Christianity,96.56134148148151,1.53866728247586,N,EUR,Europe,10,"Western Europe",96,94,MLT,432000,3
RM,"Marshall Islands",51170,6,1,386,5,eng,English,1,Christianity,95.2320301886792,53.0000918838233,N,SOP,Oceania,1,"Australia and Pacific",73,98,MHL,53000,1
MB,Martinique,372559,7,,,4,fra,French,1,Christianity,94.8573490909091,6.90416526834469,N,NAR,"North America",12,"North America and Caribbean",89,87,MTQ,385000,
MR,Mauritania,4510057,19,15,4494203,1,arb,"Arabic, Standard",6,Islam,0.298809645374449,0.125183040579289,Y,AFR,Africa,8,"West and Central Africa",60,52,MRT,4540000,97
MP,Mauritius,1230009,18,7,100604,4,eng,English,5,Hinduism,32.6236364432177,9.778561632653391,N,AFR,Africa,7,"East and Southern Africa",40,92,MUS,1268000,7
MF,Mayotte,251626,8,6,248003,1,fra,French,6,Islam,1.626516,0.09262360732663209,N,AFR,Africa,7,"East and Southern Africa",47,92,MYT,260000,8
MX,Mexico,130074779,330,3,144263,5,spa,Spanish,1,Christianity,94.7692615678462,10.3175870202852,N,NAR,"North America",11,"Latin America",80,94,MEX,130759000,3
FM,"Micronesia, Federated States",103533,25,1,700,5,eng,English,1,Christianity,95.4139415094339,22.7639176832019,N,SOP,Oceania,1,"Australia and Pacific",22,89,FSM,106000,1
